iso3,country,accessionYear,pop2019
AUS,Australia,1971,25203.198
AUT,Austria,1961,8955.102
BEL,Belgium,1961,11539.328
CAN,Canada,1961,37411.047
CHL,Chile,2010,18952.038
CZE,Czech Republic,1995,10689.209
DNK,Denmark,1961,5771.876
EST,Estonia,2010,1325.648
FIN,Finland,1969,5532.156
FRA,France,1961,65129.728
DEU,Germany,1961,83517.045
GRC,Greece,1961,10473.455
HUN,Hungary,1996,9684.679
ISL,Iceland,1961,339.031
IRL,Ireland,1961,4882.495
ISR,Israel,2010,8519.377
ITA,Italy,1962,60550.075
JPN,Japan,1964,126860.301
LVA,Latvia,2016,1906.743
LTU,Lithuania,2018,2759.627
LUX,Luxembourg,1961,615.729
MEX,Mexico,1994,127575.529
NLD,Netherlands,1961,17097.13
NZL,New Zealand,1973,4783.063
NOR,Norway,1961,5378.857
POL,Poland,1996,37887.768
PRT,Portugal,1961,10226.187
SVN,Slovenia,2010,2078.654
KOR,South Korea,1996,51225.308
ESP,Spain,1961,46736.776
SWE,Sweden,1961,10036.379
CHE,Switzerland,1961,8591.365
TUR,Turkey,1961,83429.615
GBR,United Kingdom,1961,67530.172
USA,United States,1961,329064.917
