obsrb,year,quarter,dis_inc,cons_exp,ct,yt
1,1947,1,59505,57168,10.95374958,10.99381562
2,1947,2,59717.4,55464,10.92348944,10.99737871
3,1947,3,59039.1,56332,10.93901804,10.98595522
4,1947,4,61342.6,55836,10.9301741,11.02422982
5,1948,1,60544.6,54488,10.90573577,11.01113556
6,1948,2,60324.6,53676,10.89072125,11.00749526
7,1948,3,62120.7,54208,10.90058378,11.03683455
8,1948,4,62249.1,56704,10.94560003,11.03889936
9,1949,1,61856.1,54872,10.91275848,11.032566
10,1949,2,62070.3,58588,10.97828518,11.03602289
11,1949,3,64244.8,59200,10.98867682,11.07045607
12,1949,4,65451.5,59972,11.00163307,11.08906469
13,1950,1,65269,60400,11.00874438,11.08627247
14,1950,2,65625.2,62100,11.03650127,11.09171505
15,1950,3,66221.2,63196,11.05399629,11.10075593
16,1950,4,67101.6,62080,11.03617915,11.11396317
17,1951,1,69809.8,65220,11.08552145,11.15352968
18,1951,2,70714.2,62212,11.03830319,11.16640168
19,1951,3,68644.1,61156,11.02118326,11.13669046
20,1951,4,69660.4,61464,11.02620692,11.15138729
21,1952,1,72556.4,63684,11.06168863,11.19211947
22,1952,2,74153.8,66124,11.09928705,11.21389659
23,1952,3,75353.8,67764,11.12378636,11.22994963
24,1952,4,77089.2,69796,11.15333198,11.25271847
25,1953,1,77918.8,70680,11.16591793,11.26342254
26,1953,2,78343,71328,11.17504424,11.2688519
27,1953,3,78300.9,71216,11.17347279,11.26831438
28,1953,4,78995.4,72456,11.19073476,11.2771449
29,1954,1,77061.9,72052,11.18514336,11.25236427
30,1954,2,77282,73592,11.2062916,11.25521635
31,1954,3,78457.6,73876,11.21014329,11.27031363
32,1954,4,79486.5,76456,11.24447069,11.28334247
33,1955,1,81880.4,76128,11.24017141,11.31301492
34,1955,2,83789.2,79412,11.28240477,11.3360594
35,1955,3,84963.1,81704,11.31085824,11.34997232
36,1955,4,87108.9,83864,11.33695172,11.37491434
37,1956,1,89626.2,84768,11.34767339,11.40340297
38,1956,2,91517.3,86140,11.36372916,11.4242833
39,1956,3,92076.4,87448,11.37879961,11.43037395
40,1956,4,93325.1,87296,11.37705992,11.44384438
41,1957,1,93118.4,88420,11.38985347,11.44162708
42,1957,2,93269.7,89292,11.39966718,11.44325058
43,1957,3,95712.8,90600,11.41420949,11.46910732
44,1957,4,96211.4,89840,11.40578559,11.47430313
45,1958,1,96777.7,90960,11.41817513,11.48017187
46,1958,2,98713.9,91160,11.42037148,11.49998105
47,1958,3,99070,93424,11.44490355,11.50358195
48,1958,4,100335.4,95572,11.46763517,11.51627385
49,1959,1,100827.3,96708,11.47945141,11.52116443
50,1959,2,102557,97336,11.48592419,11.53817402
51,1959,3,102169.4,98512,11.49793365,11.5343875
52,1959,4,102915.3,99216,11.50505457,11.5416616
53,1960,1,104896.4,99832,11.51124405,11.56072848
54,1960,2,104643.9,100816,11.52105235,11.55831844
55,1960,3,106650.4,102092,11.53362965,11.57731147
56,1960,4,106559.4,103080,11.54326066,11.57645786
57,1961,1,104125.4,99956,11.51248537,11.55335122
58,1961,2,105826.8,101956,11.53229663,11.56955907
59,1961,3,108432.6,104220,11.55425933,11.59388406
60,1961,4,110003.6,104544,11.55736331,11.60826837
61,1962,1,113936.7,106940,11.58002321,11.64339831
62,1962,2,114388.5,107708,11.58717914,11.64735583
63,1962,3,115628.8,107528,11.58550656,11.65814034
64,1962,4,116902.7,109860,11.60696211,11.66909724
65,1963,1,117506.3,110412,11.6119741,11.67424723
66,1963,2,120332.7,112264,11.62860852,11.69801569
67,1963,3,120153.8,113148,11.63645198,11.69652787
68,1963,4,122429.7,115384,11.65602098,11.71529227
69,1964,1,124412.3,117572,11.67480619,11.73135633
70,1964,2,124750.5,117572,11.67480619,11.73407102
71,1964,3,127026.9,120292,11.6976774,11.75215415
72,1964,4,128805.1,121376,11.70664844,11.76605569
73,1965,1,133141.6,122756,11.71795392,11.7991685
74,1965,2,133748.9,125584,11.74073014,11.80371944
75,1965,3,137019.2,127312,11.75439605,11.82787634
76,1965,4,139720.2,130048,11.77565889,11.84739713
77,1966,1,142512.2,131392,11.7859405,11.86718289
78,1966,2,143373.3,131600,11.7875223,11.873207
79,1966,3,144705.2,134532,11.80955737,11.88245385
80,1966,4,146109.8,134844,11.81187383,11.89211367
81,1967,1,146772.5,135840,11.819233,11.89663905
82,1967,2,150464.3,138572,11.83914533,11.92148113
83,1967,3,150185.9,138528,11.83882775,11.91962914
84,1967,4,151640.8,140760,11.85481159,11.92926985
85,1968,1,150448.4,142280,11.86555223,11.92137545
86,1968,2,155323.3,142768,11.86897621,11.95326403
87,1968,3,156915,145592,11.88856347,11.96345954
88,1968,4,158460.6,147928,11.90448095,11.97326126
89,1969,1,160792.9,151284,11.92691414,11.98787248
90,1969,2,159488.2,150556,11.92209039,11.97972522
91,1969,3,163144.1,152184,11.93284559,12.00238914
92,1969,4,164654.6,154276,11.94649849,12.01160523
93,1970,1,165829.2,152612,11.93565403,12.01871362
94,1970,2,162454.1,153492,11.94140373,11.99815078
95,1970,3,167685.1,156424,11.96032555,12.02984309
96,1970,4,169535.3,157936,11.96994517,12.04081644
97,1971,1,174154.4,157592,11.96776469,12.06769754
98,1971,2,175649.1,163024,12.00165271,12.07624353
99,1971,3,180979.4,166428,12.02231806,12.10613849
100,1971,4,183541,170264,12.04510545,12.12019335
101,1972,1,189300.6,171548,12.05261839,12.15109151
102,1972,2,193304.7,175672,12.0763739,12.17202298
103,1972,3,196418.8,177472,12.08656813,12.18800439
104,1972,4,204243.6,181996,12.11173999,12.22706868
105,1973,1,207167.2,187012,12.13892806,12.24128148
106,1973,2,213371.2,188440,12.14653493,12.27078865
107,1973,3,217382.8,189900,12.1542529,12.28941513
108,1973,4,223392.4,194236,12.17682919,12.31668515
109,1974,1,228819.2,199700,12.20457152,12.34068745
110,1974,2,224779.3,201256,12.21233301,12.32287431
111,1974,3,232784.7,202512,12.21855442,12.35786927
112,1974,4,233024.7,200088,12.20651255,12.35889974
113,1975,1,238731.4,204548,12.22855795,12.38309435
114,1975,2,241565.5,207584,12.24329136,12.39489594
115,1975,3,247014.3,212328,12.26588753,12.41720151
116,1975,4,250142.3,217016,12.28772636,12.42978523
117,1976,1,252983.4,216952,12.28743141,12.44107915
118,1976,2,259446,223824,12.31861531,12.46630387
119,1976,3,255486.5,225200,12.32474418,12.45092485
120,1976,4,263228.4,230444,12.34776316,12.48077738
121,1977,1,261105.1,230084,12.34619974,12.47267829
122,1977,2,264296.8,228680,12.34007893,12.48482799
123,1977,3,264354.5,232224,12.3554577,12.48504628
124,1977,4,268321.1,233772,12.36210156,12.49993968
125,1978,1,275039.6,235736,12.37046781,12.52467037
126,1978,2,276962.9,238704,12.38297957,12.53163884
127,1978,3,276875.3,240620,12.3909742,12.5313225
128,1978,4,280757.4,241192,12.39334858,12.54524623
129,1979,1,281301.5,245224,12.40992736,12.54718233
130,1979,2,290890.8,245208,12.40986211,12.58070322
131,1979,3,287004.6,246416,12.41477644,12.56725352
132,1979,4,294106.3,247012,12.4171922,12.59169655
133,1980,1,294546,248772,12.42429209,12.59319047
134,1980,2,297832.7,248328,12.42250573,12.6042872
135,1980,3,296630.8,252864,12.44060707,12.60024355
136,1980,4,298747.5,255412,12.45063321,12.60735401
137,1981,1,306943.6,257040,12.45698699,12.6344193
138,1981,2,312165.4,258168,12.46136581,12.65128845
139,1981,3,312312.8,256876,12.45634876,12.65176053
140,1981,4,314286.6,256432,12.4546188,12.65806059
141,1982,1,319395.5,250980,12.43312853,12.67418543
142,1982,2,314758.3,250728,12.43212397,12.65956032
143,1982,3,311855,250196,12.42999989,12.65029362
144,1982,4,304723.2,249360,12.42665291,12.6271591
145,1983,1,302439.8,253872,12.44458548,12.61963753
146,1983,2,302710.4,256972,12.45672241,12.62053185
147,1983,3,317634.2,261324,12.4735163,12.66865569
148,1983,4,312185.9,263448,12.48161128,12.65135412
149,1984,1,312089.2,267200,12.49575272,12.65104432
150,1984,2,324138.1,269888,12.50576234,12.68892494
151,1984,3,325388.5,270764,12.50900287,12.69277513
152,1984,4,331381.2,275564,12.52657519,12.71102465
153,1985,1,331899.2,278476,12.53708716,12.71258659
154,1985,2,333844.3,281948,12.54947794,12.71843
155,1985,3,332679.5,287884,12.5703129,12.71493484
156,1985,4,335886.8,291384,12.58239726,12.72452948
157,1986,1,338675.6,292228,12.5852896,12.732798
158,1986,2,338714.4,295672,12.59700601,12.73291255
159,1986,3,336283.7,300944,12.61467948,12.72571043
160,1986,4,338852.8,301068,12.61509143,12.73332107
161,1987,1,343951.8,303672,12.62370345,12.74825681
162,1987,2,346179.8,308976,12.64101888,12.75471357
163,1987,3,348980.7,312704,12.65301234,12.7627719
164,1987,4,351556.4,316460,12.66495213,12.77012543
165,1988,1,355789.6,318824,12.67239451,12.78209482
166,1988,2,360264.2,323428,12.6867318,12.79459293
167,1988,3,370116.9,325408,12.69283506,12.82157418
168,1988,4,375081.8,329544,12.70546516,12.83489941
169,1989,1,382897.6,332280,12.71373327,12.85552287
170,1989,2,380608.1,336640,12.72676939,12.84952552
171,1989,3,380867,334884,12.72153948,12.85020551
172,1989,4,385132.5,337332,12.72882289,12.86134271
173,1990,1,388543.1,342368,12.74364146,12.87015938
174,1990,2,378841.8,337888,12.73046976,12.84487398
175,1990,3,384585.1,337860,12.73038689,12.85992037
176,1990,4,381534.1,336752,12.72710203,12.85195551
177,1991,1,375007.3,328636,12.70270603,12.83470077
178,1991,2,379163.8,334360,12.71997354,12.84572358
179,1991,3,377642.9,334280,12.71973424,12.84170432
180,1991,4,376542.2,336308,12.72578269,12.8387854
181,1992,1,376583.5,336344,12.72588972,12.83889508
182,1992,2,384921,336656,12.72681692,12.8607934
183,1992,3,384765.4,338628,12.73265744,12.86038908
184,1992,4,382044.7,338848,12.73330691,12.8532929
185,1993,1,385102.3,340452,12.73802943,12.86126429
186,1993,2,387173,342192,12.74312726,12.8666269
187,1993,3,382785.7,343356,12.74652309,12.85523058
188,1993,4,379566,345432,12.75255109,12.84678377
189,1994,1,384796.9,350636,12.76750393,12.86047094
190,1994,2,386014.1,351876,12.77103412,12.86362918
191,1994,3,386136.2,352972,12.77414401,12.86394544
192,1994,4,388264.5,356168,12.78315781,12.86944209
193,1995,1,391548.2,355476,12.78121302,12.8778639
194,1995,2,390850.3,357112,12.78580474,12.8760799
195,1995,3,388239.8,359348,12.79204656,12.86937847
196,1995,4,390576.6,359372,12.79211334,12.87537939
197,1996,1,391381.5,363896,12.80462339,12.87743807
198,1996,2,389502.6,364428,12.80608428,12.87262582
199,1996,3,388282.1,366224,12.81100045,12.86948742
200,1996,4,388804.1,371236,12.82459326,12.8708309
